,分数,影评
568,很差,"看不明白。。。 一个精通各类黄片的大学生毕业之后去卖黄盘，不理解。 男主接电话被人骂，然后被人打，心情不好找路人发泄，被女主打了两个嘴巴之后莫名其妙就分手了，到底俩人为啥分手啊。 买了房子了，说我要的不是房，那你要啥啊，你说你要的是一个家，没有房子哪来的家啊。...

                         (展开)"
569,还行,"我看电影的习惯主要就是感受  想看到能引起共鸣的东西或者提高一些对生活的认识  其实看完之后并没有理解晓小为什么后来拒绝跟见清去住大房子 她之前恋爱的那些人没有几个是真心对待她 她却很喜欢甚至想结婚  可见清为了她努力成功了之后 却得不到理解 也许真正相爱的人才会要...

                         (展开)"
570,力荐,"这篇影评可能有剧透

                        “如果当时你没有走”  “如果当时你有勇气上了地铁，那么我会和你好一辈子”   “如果我没走你也许也不会成功”   “你如果觉得当时我走是因为不能和你一起吃苦，那么你又怎么能相信现在的我能和你过你以为的好日子！” “累了就回来吧”“我知道就算你两不能成，我们也是家人...

                         (展开)"
571,力荐,"这是一部秉承文艺风范的片子，故事是简单的青春爱情成长，这恰好能触动所有20到40岁的人，表现手法是双色双线的叙事，舒缓而清晰的铺陈开来，最后融合在相互呼唤的暮色中，我就是在此泪崩的，感动我的还有田壮壮饰演的父亲，低沉的声音为影片做了最厚实的映衬，是一部感人的好...

                         (展开)"
572,较差,"耐着性子看完，还好电影票不是老子买的。 1.导演其实是张一白，刘若英算是个监制，说刘若英是导演就是种营销手段，卖的是情怀。 2.画面无美感，走的就是个流水线工程。 3.不在一起的没什么好怀念的，不管什么原因，好听点叫没缘份，难听点叫左看右看都不爽。 4.东拼西凑的故事...

                         (展开)"
573,还行,"这篇影评可能有剧透

                        《后来的我们》，很久前就知道了这部要上映的电影。主打着“青春”“追忆”“前任”这些标志性的关键词也并没有增加丝毫我对它的兴趣，反而从心底衍生出对这些“贩卖情怀”的片子的冷嘲——导演们总是自以为是地认为拍出了他们以为的我们的青春，呵，鬼知道那到底是谁的青春—...

                         (展开)"
574,力荐,"抱歉，我没有看过这个电影。不是不想看，而是不敢看。我想正在失恋中挣扎的人，不适合看这类电影吧，毕竟只有一个人，到哪里都被自己嫌弃。当初在电影院看《前任3》，一个大男人坐在电影院里，哭出猪叫。 故事说，十年后，见清和小晓在飞机上再次偶然重逢……可能我们之间再没...

                         (展开)"
575,还行,"这篇影评可能有剧透

                        有人说，应该把主题曲换成刘导的《后来》，因为那已经是后来的故事了，似乎跟电影更贴合； 电影还没上映，有人说这是一部催泪大片，很好看，很感人，可是看了之后，唯一戳中我泪点的是见清的父亲写给小晓的那封信，里面包含了所有能给的父亲的爱。 是的，这是一部爱情片，可是...

                         (展开)"
576,还行,"这篇影评可能有剧透

                        在全片的叙事的风格上，以男女主的第一次相遇作为开场，之后以现实中男女主回忆的方式来进行叙事。在影片的色调选择上，回忆使用偏发黄的怀旧风格进行拍摄，而现实因男女主的分手而选择了黑白色，直到影片的最后，随着女主真正的放下而明亮起来。 在影片的故事情节上，导演把爱...

                         (展开)"
577,力荐,"这篇影评可能有剧透

                        两个部分吧，第一 林爸爸的那封给小晓的信，最后那句 好好吃饭  让我湿了眼眶  这不光是两个人的感情了吧 应该是天底下所有父母对自己儿女的叮嘱  父母不奢望自己的儿女大富大贵  只希望自己的儿女能够好好吃饭 睡个好觉罢了 但是在这个社会中 哪个在外打工的儿女不是都说过同...

                         (展开)"
578,力荐,"觉得挺好的，满满的回忆杀。 不上一定年纪没有相似经历的人无法体会。 现在的年轻人，再也没有闯荡的意愿和魄力，很多都想直接回到十八线小城市稳定去。 可能在编剧方面还是有几点可商榷之处： 第一，年份应该再提前5-10年，07年哪还有卖碟的，都网络了，再说那时计算机本科哪...

                         (展开)"
579,推荐,"这篇影评可能有剧透

                        最近比较忙一直没空去看电影，这部电影从上映起就很多朋友追问我好不好看（毕竟曾经也是老影迷），后来看过的朋友都说好看而网络上却一片骂声…言归正传:这部电影是以插叙的形式来演绎，或许因为太早把结局告诉观众导致当今社会早已习惯快餐式的观众退票不买账。这部电影我个人...

                         (展开)"
580,推荐,"看完《后来的我们》！看到剧中男主角林见清的父亲，我想到了自己的老婆，也感觉到很害怕，害怕有一天我老了，会一个人孤零零的！也害怕有一天老婆老了会孤零零的，怕别人会欺负她！所以，我希望我们都能好好的！等有一天我们都会慢慢老去，儿子为了自己的梦想去闯荡，到时候就...

                         (展开)"
581,还行,"平淡叙述，井柏然穷的时候的样子真的很像我第一个男朋友，眼神表情动作甚至脸，都很像，所以看的时候我也回忆了，以前学生的时候零花钱不多，压马路也很开心，他剩下一百块，会给我花。 两个地方比较动情，一个是他们分手的时候，周冬雨在地铁里，他赶到了地铁门外，却这样相望...

                         (展开)"
582,还行,"没那么差吧。差的地方很多，比如两个小镇青年一点没小镇青年样。爸爸好的一逼，就爸爸这戏也不至于一星啊。看的出来为了说一个成长的故事费尽心思把片段串起来，前半部分尤其两人在一起的部分可以说也是亮点了，看着很开心。后半部分挺掉线的，不如只探讨到周冬雨的那句话，你...

                         (展开)"
583,还行,"这篇影评可能有剧透

                        听朋友说还可以，就是感觉好像什么都想说，又什么都表达不好。然后我回复，那就是剪辑的问题。 现在看完，确实是剪辑的问题，两个小时太长了，而且是一部半文艺半爱情片，真的有人中途离场，节奏太慢，如果把现时灰白段砍掉一些可能会好点，然后讲北漂的故事真心太多了，多到很...

                         (展开)"
584,还行,"这篇影评可能有剧透

                        因为喜欢周冬雨和井柏然去看的电影，觉得一般。 男朋友很生气说，这样的烂片最多给0.5分，他看了一个小时发现还有一个小时的时候特别崩溃哈哈哈。 说说感受。有大量剧透。 首先呢先不说三观正不正，这种怀念前任还跟前任拉拉扯扯的都是祸害人的但是我觉得拍电影的人只是想讲个...

                         (展开)"
